Player,Span,Matches,Innings,Overs,Mdns,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
J Bulele (MOZ),2019-2022,27,24,76.1,0,512,32,4/13,16.00,6.72,14.2,1,0,
DT Johnston (IRE),2008-2013,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0,
H Lakov (BUL),2019-2022,35,34,129.5,3,989,32,3/21,30.90,7.61,24.3,0,0,
SA Okpe (NGA),2019-2023,31,26,71.5,3,366,32,5/9,11.43,5.09,13.4,0,1,
DMW Rawlins (BER),2019-2023,28,27,98.0,2,567,32,4/10,17.71,5.78,18.3,2,0,
Abdullah Akbarjan (Aut),2019-2023,28,27,87.5,2,552,31,3/16,17.80,6.28,17.0,0,0,
Amjad Sher (Fin),2019-2023,25,25,93.0,6,562,31,3/14,18.12,6.04,18.0,0,0,
CR Brathwaite (WI),2011-2019,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0,
AJ Hosein (WI),2021-2023,39,36,129.0,0,932,31,4/30,30.06,7.22,24.9,1,0,
Ijaz Hussain (ROM),2019-2023,26,25,73.4,0,548,31,4/28,17.67,7.43,14.2,1,0,
ND Laegsgaard (DEN),2019-2023,23,21,68.3,1,363,31,4/19,11.70,5.29,13.2,1,0,
O Harvey (GHA),2021-2023,28,28,98.5,3,550,31,3/12,17.74,5.56,19.1,0,0,
R Rampaul (WI),2007-2021,27,27,95.5,1,803,31,3/16,25.90,8.37,18.5,0,0,
D Ravu (PNG),2019-2022,24,23,67.1,0,482,31,5/15,15.54,7.17,13.0,1,1,
R Shepherd (WI),2020-2023,31,28,88.4,0,921,31,4/31,29.70,10.38,17.1,1,0,
Usman Qadir (PAK),2020-2023,25,21,72.0,0,573,31,4/13,18.48,7.95,13.9,1,0,
S Vijay Unni (MAL),2022-2023,24,24,79.1,1,487,31,4/23,15.70,6.15,15.3,1,0,
HR Walsh (USA/WI),2019-2022,38,32,103.5,0,824,31,3/23,26.58,7.93,20.0,0,0,
Washington Sundar (IND),2017-2023,40,38,125.3,1,900,31,3/22,29.03,7.17,24.2,0,0,
Zeeshan Maqsood (OMA),2015-2022,48,37,114.0,1,740,31,4/7,23.87,6.49,22.0,2,0,
Amir Hamza (AFG),2013-2021,33,33,111.0,2,752,30,3/39,25.06,6.77,22.2,0,0,
MJ McClenaghan (ICC/NZ),2012-2018,29,29,101.2,2,789,30,3/17,26.30,7.78,20.2,0,0,
Mahedi Hasan (BAN),2018-2022,38,36,122.5,1,807,30,3/19,26.90,6.56,24.5,0,0,
NN Odhiambo (KENYA),2007-2022,43,37,102.1,1,832,30,5/20,27.73,8.14,20.4,0,1,
Raza Iqbal (NOR),2019-2023,23,21,71.0,0,422,30,5/23,14.06,5.94,14.2,0,1,
V Baskaran (SGP),2019-2022,33,33,103.5,3,783,29,3/39,27.00,7.54,21.4,0,0,
DL Chahar (IND),2018-2022,24,24,86.0,2,703,29,6/7,24.24,8.17,17.7,0,1,
S Conteh (SLE),2021-2023,20,18,55.4,0,306,29,5/17,10.55,5.49,11.5,2,1,
TK Curran (ENG),2017-2021,30,29,98.0,1,907,29,4/36,31.27,9.25,20.2,1,0,
Fayyaz Butt (OMA),2019-2023,29,29,92.3,1,671,29,3/16,23.13,7.25,19.1,0,0,
H Fennell (Arg),2019-2023,17,17,54.1,1,380,29,6/18,13.10,7.01,11.2,2,1,
Naveed Ahmed (CZK-R),2019-2023,33,29,84.0,0,611,29,3/10,21.06,7.27,17.3,0,0,
HV Patel (IND),2021-2023,25,24,83.5,0,770,29,4/25,26.55,9.18,17.3,1,0,
WA Peatfield (GUE),2019-2022,21,21,75.0,0,457,29,4/22,15.75,6.09,15.5,1,0,
