Player,Span,Matches,Innings,Overs,Mdns,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
IDA Damarell (GUE),2020-2023,15,-,-,-,-,-,-,-,-,-,-,-,
P Danci (ROM),2019-2020,4,-,-,-,-,-,-,-,-,-,-,-,
S Daniel (SL),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
IK Darmawan (INA),2022-2023,3,-,-,-,-,-,-,-,-,-,-,-,
Darwish Rasooli (AFG),2022-2022,5,-,-,-,-,-,-,-,-,-,-,-,
RR David (CAN),2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,
BJ Davidson (SRB),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-,
SM Davies (ENG),2009-2011,5,-,-,-,-,-,-,-,-,-,-,-,
N Davin (NAM),2019-2019,16,-,-,-,-,-,-,-,-,-,-,-,
R Davson (Bhm),2021-2022,6,-,-,-,-,-,-,-,-,-,-,-,
TB de Bruyn (SA),2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,
TN de Grooth (NED),2008-2013,15,-,-,-,-,-,-,-,-,-,-,-,
Q de Kock (SA),2012-2023,80,-,-,-,-,-,-,-,-,-,-,-,
S Delai (Fiji),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
D de la Puente (Peru),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
SI de Saram (SL),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,
IA De Silva (BUL),2020-2022,35,-,-,-,-,-,-,-,-,-,-,-,
Devender Singh (GHA),2021-2022,20,-,-,-,-,-,-,-,-,-,-,-,
AB de Villiers (SA),2006-2017,78,-,-,-,-,-,-,-,-,-,-,-,
Dharmang Patel (QAT),2022-2022,5,-,-,-,-,-,-,-,-,-,-,-,
S Dhawan (IND),2011-2021,68,-,-,-,-,-,-,-,-,-,-,-,
P Dhiman (ESP),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,
Dhiman Ghosh (BAN),2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
MS Dhoni (IND),2006-2019,98,-,-,-,-,-,-,-,-,-,-,-,
MS Diakite (Mali),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,
N Dickwella (SL),2016-2021,28,-,-,-,-,-,-,-,-,-,-,-,
V Dikov (BUL),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
Dipanjan Dey (SWE),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-,
HH Dippenaar (SA),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-,
Divyendra Singh (CZK-R),2022-2023,11,-,-,-,-,-,-,-,-,-,-,-,
Divyes Kumar (MLT),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
BM Dlamini (SWZ),2022-2022,5,-,-,-,-,-,-,-,-,-,-,-,
ST Doheny (IRE),2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
K Doriga (PNG),2019-2023,31,-,-,-,-,-,-,-,-,-,-,-,
JN Dorji (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
RM Dorji (BHU),2019-2022,7,-,-,-,-,-,-,-,-,-,-,-,
U Dorji (BHU),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
TM Dowlin (WI),2009-2010,2,-,-,-,-,-,-,-,-,-,-,-,
R Dravid (IND),2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,
BM Duckett (ENG),2019-2023,11,-,-,-,-,-,-,-,-,-,-,-,
LA Dunbar (SRB),2019-2023,23,-,-,-,-,-,-,-,-,-,-,-,
JSE Dunford (JER),2019-2022,31,-,-,-,-,-,-,-,-,-,-,-,
BR Dunk (AUS),2014-2017,5,-,-,-,-,-,-,-,-,-,-,-,
J Dunn (VAN),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,
MD du Preez (NAM),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,
E Dusingizimana (RWN),2021-2023,52,-,-,-,-,-,-,-,-,-,-,-,
G Dutta (Mex),2019-2019,7,-,-,-,-,-,-,-,-,-,-,-,
Dylan Steyn (CZK-R),2022-2023,16,-,-,-,-,-,-,-,-,-,-,-,
D Eckstein (Aut),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
J Edness (BER),2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
SA Edwards (NED),2018-2022,51,-,-,-,-,-,-,-,-,-,-,-,
JKP Ellick (STHEL),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
L Emilio (MOZ),2019-2022,24,-,-,-,-,-,-,-,-,-,-,-,
C Emmott (Chile),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
Eric Phiri (SWZ),2022-2022,11,-,-,-,-,-,-,-,-,-,-,-,
CR Ervine (ZIM),2010-2023,59,-,-,-,-,-,-,-,-,-,-,-,
R Escobar (Arg),2019-2023,17,-,-,-,-,-,-,-,-,-,-,-,
Fahad Ali (BRA),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
Fahad Nawaz (UAE),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
Faheem Nellancheri (Fin),2023-2023,5,-,-,-,-,-,-,-,-,-,-,-,
Faisal Javed (QAT),2019-2019,15,-,-,-,-,-,-,-,-,-,-,-,
Faisal Mubashir (GER),2021-2023,20,-,-,-,-,-,-,-,-,-,-,-,
Faizan Asif (UAE),2014-2015,6,-,-,-,-,-,-,-,-,-,-,-,
Faizan Mumtaz (NOR),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,
A Faletar (CRT),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
D Faletar (CRT),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
Fareed Shius (MDV),2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,
IM Farrell (GIBR),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
LB Ferbrache (GUE),2019-2023,25,-,-,-,-,-,-,-,-,-,-,-,
L Fereti (Samoa),2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
A Ferguson (Arg),2019-2023,17,-,-,-,-,-,-,-,-,-,-,-,
CJ Ferguson (AUS),2009-2009,3,-,-,-,-,-,-,-,-,-,-,-,
BOP Fernando (SL),2019-2021,7,-,-,-,-,-,-,-,-,-,-,-,
MNK Fernando (SL),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
WIA Fernando (SL),2019-2023,33,-,-,-,-,-,-,-,-,-,-,-,
NJ Ferraby (JER),2019-2021,18,-,-,-,-,-,-,-,-,-,-,-,
D Ferreira (SA),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
Fiaz Ahmed (BHR),2019-2023,12,-,-,-,-,-,-,-,-,-,-,-,
Fida Hussain (ITA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
SE Findlay (WI),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
B Fitchet (GUE),2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,
R Flannigan (SCOT),2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,
SP Fleming (NZ),2005-2006,5,-,-,-,-,-,-,-,-,-,-,-,
ADS Fletcher (WI),2008-2021,54,-,-,-,-,-,-,-,-,-,-,-,
BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
CR Foggo (BER),2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
C Forbes (SWA/SWZ),2021-2023,15,-,-,-,-,-,-,-,-,-,-,-,
JS Foster (ENG),2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,
O Fournier (CRC),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
D Foxcroft (NZ),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
TS Fray (BER),2019-2023,21,-,-,-,-,-,-,-,-,-,-,-,
JD Freyone (GIBR),2019-2023,15,-,-,-,-,-,-,-,-,-,-,-,
PG Fulton (NZ),2006-2012,12,-,-,-,-,-,-,-,-,-,-,-,
Gabor Torok (HUN),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
RD Gaikwad (IND),2021-2023,14,-,-,-,-,-,-,-,-,-,-,-,
S Gajjar (CZK-R),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,
G Gambhir (IND),2007-2012,37,-,-,-,-,-,-,-,-,-,-,-,
AR Gandhi (KENYA),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
D Ganga (WI),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-,
A Gasteratos (GRC),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
A Gavde (CAY),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
R Gaznavi (SGP),2019-2023,21,-,-,-,-,-,-,-,-,-,-,-,
HS Gericke (MLT),2020-2022,21,-,-,-,-,-,-,-,-,-,-,-,
Gershon Yusuf (NGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
K Ghalley (BHU),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
Ghulam Shabber (UAE),2016-2019,17,-,-,-,-,-,-,-,-,-,-,-,
HH Gibbs (SA),2005-2010,23,-,-,-,-,-,-,-,-,-,-,-,
AC Gilchrist (AUS),2005-2008,13,-,-,-,-,-,-,-,-,-,-,-,
MK Gnanasekaram (SUI),2023-2023,7,-,-,-,-,-,-,-,-,-,-,-,
O Goker (TKY),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
SP Gomes (PORT),2022-2023,7,-,-,-,-,-,-,-,-,-,-,-,
LF Goncalves (BRA),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
DM Gondaria (KENYA),2013-2019,11,-,-,-,-,-,-,-,-,-,-,-,
M Goonetilleke (MLT),2019-2021,3,-,-,-,-,-,-,-,-,-,-,-,
A Gorawara (HKG),2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,
TG Gordon (CAN),2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,
S Goud (CZK-R),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
PB Gouge (JER),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
R Gowthaman (SWE),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-,
J Grassi (ITA),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-,
ZE Green (NAM),2019-2022,35,-,-,-,-,-,-,-,-,-,-,-,
S Grover (CZK-R),2021-2023,5,-,-,-,-,-,-,-,-,-,-,-,
R Gunasekera (CAN),2012-2013,8,-,-,-,-,-,-,-,-,-,-,-,
K Gupta (Chile),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,
SP Guzman (PAN),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-,
BJ Haddin (AUS),2006-2014,34,-,-,-,-,-,-,-,-,-,-,-,
Hadisullah Tarakhel (Belg),2021-2021,5,-,-,-,-,-,-,-,-,-,-,-,
Haider Ali (PAK),2020-2023,35,-,-,-,-,-,-,-,-,-,-,-,
H Hajnic (CRT),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
JB Hakizimana (RWN),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
A Halbhavi (LUX),2021-2023,15,-,-,-,-,-,-,-,-,-,-,-,
AD Hales (ENG),2011-2022,75,-,-,-,-,-,-,-,-,-,-,-,
S Hallett (Peru),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,
Hamed Khan (HKG),2020-2023,5,-,-,-,-,-,-,-,-,-,-,-,
Hamid Hashemi (Iran),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,
GM Hamilton (SCOT),2007-2010,12,-,-,-,-,-,-,-,-,-,-,-,
Hammad Azam (PAK),2012-2013,5,-,-,-,-,-,-,-,-,-,-,-,
Hamza Tariq (CAN),2013-2022,26,-,-,-,-,-,-,-,-,-,-,-,
PSP Handscomb (AUS),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
J Hansrod (SWA),2021-2021,4,-,-,-,-,-,-,-,-,-,-,-,
A Harikumar (BUL),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
Haris Sohail (PAK),2013-2019,14,-,-,-,-,-,-,-,-,-,-,-,
C Hartmann (IOM),2020-2023,19,-,-,-,-,-,-,-,-,-,-,-,
E Hasahya (UGA),2022-2022,5,-,-,-,-,-,-,-,-,-,-,-,
Haseeb Ghafoor (KSA),2022-2023,15,-,-,-,-,-,-,-,-,-,-,-,
Hashmatullah Shahidi (AFG),2013-2022,6,-,-,-,-,-,-,-,-,-,-,-,
Hassan Rasheed (MDV),2019-2023,20,-,-,-,-,-,-,-,-,-,-,-,
C Hauptfleisch (CAY),2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,
E Haven (Bhm),2021-2022,8,-,-,-,-,-,-,-,-,-,-,-,
ML Hayden (AUS),2005-2007,9,-,-,-,-,-,-,-,-,-,-,-,
Hazratullah Zazai (AFG),2016-2023,38,-,-,-,-,-,-,-,-,-,-,-,
H Helva (TKY),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,
DL Hemp (BER),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
N Henderson (SUI),2021-2022,5,-,-,-,-,-,-,-,-,-,-,-,
SO Hetmyer (WI),2018-2023,55,-,-,-,-,-,-,-,-,-,-,-,
R Heyns (LUX),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,
Hilal Ahmad (CZK-R),2019-2021,15,-,-,-,-,-,-,-,-,-,-,-,
WW Hinds (WI),2006-2010,5,-,-,-,-,-,-,-,-,-,-,-,
S Hook (EST),2021-2023,13,-,-,-,-,-,-,-,-,-,-,-,
SD Hope (WI),2017-2023,21,-,-,-,-,-,-,-,-,-,-,-,
GJ Hopkins (NZ),2007-2010,10,-,-,-,-,-,-,-,-,-,-,-,
JM How (NZ),2007-2008,5,-,-,-,-,-,-,-,-,-,-,-,
V Hristov (BUL),2021-2023,4,-,-,-,-,-,-,-,-,-,-,-,
PJ Hughes (AUS),2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,
Humayun Kabir (SWE),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,
Husnain Kabeer (GER),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
DP Hyatt (WI),2011-2012,5,-,-,-,-,-,-,-,-,-,-,-,
Ibrahim Rahimi (NOR),2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
Ibrahim Zadran (AFG),2019-2023,24,-,-,-,-,-,-,-,-,-,-,-,
Idrees Ul Haque (SUI),2021-2022,6,-,-,-,-,-,-,-,-,-,-,-,
LU Igalagamage (SL),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
Ihsanullah (AFG),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
AL Leutogi (Samoa),2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,
Imal Zuwak (SWE),2021-2023,12,-,-,-,-,-,-,-,-,-,-,-,
Imam-ul-Haq (PAK),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,
Imran Ali Butt (BHR),2019-2023,17,-,-,-,-,-,-,-,-,-,-,-,
Imran Farhat (PAK),2010-2011,7,-,-,-,-,-,-,-,-,-,-,-,
Imran Haider (ROM),2019-2021,4,-,-,-,-,-,-,-,-,-,-,-,
Imran Ismail (MOZ),2019-2019,7,-,-,-,-,-,-,-,-,-,-,-,
Imran Nazir (PAK),2007-2012,25,-,-,-,-,-,-,-,-,-,-,-,
Imrul Kayes (BAN),2010-2017,14,-,-,-,-,-,-,-,-,-,-,-,
JP Inglis (AUS),2022-2023,12,-,-,-,-,-,-,-,-,-,-,-,
CA Ingram (SA),2010-2012,9,-,-,-,-,-,-,-,-,-,-,-,
PJ Ingram (NZ),2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,
Inzamam-ul-Haq (PAK),2006-2006,1,-,-,-,-,-,-,-,-,-,-,-,
Ishan Kishan (IND),2021-2023,29,-,-,-,-,-,-,-,-,-,-,-,
Ismaeel Zia (SWE),2022-2022,8,-,-,-,-,-,-,-,-,-,-,-,
Ismail Sardar (THAI),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,
H Isorena (PHI),2022-2023,5,-,-,-,-,-,-,-,-,-,-,-,
Ivan Splicevic (CRT),2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,
Izhar Hussain (SUI),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
AJ Jabiri (TAN),2022-2022,12,-,-,-,-,-,-,-,-,-,-,-,
HA Jackson (Fran),2021-2023,18,-,-,-,-,-,-,-,-,-,-,-,
W Jackson (MWI),2021-2023,4,-,-,-,-,-,-,-,-,-,-,-,
KM Jadhav (IND),2015-2017,9,-,-,-,-,-,-,-,-,-,-,-,
V Jagannivasan (CZK-R),2021-2022,7,-,-,-,-,-,-,-,-,-,-,-,
Jahurul Islam (BAN),2010-2013,3,-,-,-,-,-,-,-,-,-,-,-,
Jaker Ali (BAN),2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
Y Jalloh (SLE),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
S Jamil (Belg),2019-2021,9,-,-,-,-,-,-,-,-,-,-,-,
H Jangariya (SWZ),2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
AA Jasani (TAN),2021-2021,6,-,-,-,-,-,-,-,-,-,-,-,
Jaspal Singh (MLT),2023-2023,15,-,-,-,-,-,-,-,-,-,-,-,
Jassim Khan (QAT),2023-2023,8,-,-,-,-,-,-,-,-,-,-,-,
Javed Ahmadi (AFG),2012-2017,3,-,-,-,-,-,-,-,-,-,-,-,
CU Jayasinghe (SL),2009-2010,5,-,-,-,-,-,-,-,-,-,-,-,
J Jemison (Bhm),2022-2023,9,-,-,-,-,-,-,-,-,-,-,-,
JW Jenner (JER),2019-2023,39,-,-,-,-,-,-,-,-,-,-,-,
JS Jesani (KENYA),2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,
K Jethi (CAN),2008-2008,5,-,-,-,-,-,-,-,-,-,-,-,
A Johnmary (Fran),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,
A Johnson (CAN),2022-2023,12,-,-,-,-,-,-,-,-,-,-,-,
Jojo Thomas (MLT),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
GO Jones (ENG),2005-2006,2,-,-,-,-,-,-,-,-,-,-,-,
MA Jones (SCOT),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,
C Jonker (SA),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,
S Jora (NEP),2019-2023,9,-,-,-,-,-,-,-,-,-,-,-,
HJ Jordaan (THAI),2019-2020,8,-,-,-,-,-,-,-,-,-,-,-,
Jordan O'Brien (Fin),2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,
GJ Joseph (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
K Joshi (Aut),2019-2021,8,-,-,-,-,-,-,-,-,-,-,-,
EC Joyce (ENG/IRE),2006-2014,18,-,-,-,-,-,-,-,-,-,-,-,
Jubaid Ahamed (Fran),2021-2022,9,-,-,-,-,-,-,-,-,-,-,-,
M Jukic (CRT),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
Junaid Siddique (BAN),2007-2012,7,-,-,-,-,-,-,-,-,-,-,-,
Jun Hyunwoo (SKOR),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,
S Jyoti (CAN),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
A Kainessie (SLE),2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,
CN Kakuru (UGA),2022-2023,28,-,-,-,-,-,-,-,-,-,-,-,
A Kalasi (THAI),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
JP Kaltapau (VAN),2022-2023,14,-,-,-,-,-,-,-,-,-,-,-,
G Kaltongga (VAN),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
AUKDS Kalugala (CYP),2022-2022,5,-,-,-,-,-,-,-,-,-,-,-,
L Kamarlekar (ISR),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
Kamran Akmal (PAK),2006-2017,58,-,-,-,-,-,-,-,-,-,-,-,
TS Kamunhukamwe (ZIM),2020-2021,8,-,-,-,-,-,-,-,-,-,-,-,
SHT Kandamby (SL),2008-2011,5,-,-,-,-,-,-,-,-,-,-,-,
A Kansonkho (MWI),2021-2023,7,-,-,-,-,-,-,-,-,-,-,-,
Kapil Kumar (PHI),2022-2023,6,-,-,-,-,-,-,-,-,-,-,-,
A Kapoor (CAN),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
CK Kapugedera (SL),2006-2017,43,-,-,-,-,-,-,-,-,-,-,-,
IA Karim (KENYA),2013-2022,44,-,-,-,-,-,-,-,-,-,-,-,
SVA Karthikeyan (ROM),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
Kashif Siddique (KSA),2022-2022,7,-,-,-,-,-,-,-,-,-,-,-,
SM Katich (AUS),2005-2006,3,-,-,-,-,-,-,-,-,-,-,-,
A Kaul (SGP),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,
HB Kayondo (UGA),2019-2021,4,-,-,-,-,-,-,-,-,-,-,-,
AN Kervezee (NED),2009-2012,10,-,-,-,-,-,-,-,-,-,-,-,
S Keshvani (CAN),2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,
RWT Key (ENG),2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,
SP Khakurel (NEP),2014-2015,8,-,-,-,-,-,-,-,-,-,-,-,
Khalid Latif (PAK),2008-2016,13,-,-,-,-,-,-,-,-,-,-,-,
P Khari (CZK-R),2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
UT Khawaja (AUS),2016-2016,9,-,-,-,-,-,-,-,-,-,-,-,
Khawar Zafar (KSA),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,
Khizer Ahmed (NOR),2019-2022,9,-,-,-,-,-,-,-,-,-,-,-,
N Khosla (MLT),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,
Khurram Manzoor (PAK),2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,
Khurram Nawaz (OMA),2017-2022,24,-,-,-,-,-,-,-,-,-,-,-,
C Kieswetter (ENG),2010-2012,25,-,-,-,-,-,-,-,-,-,-,-,
TCR Kimber (GUE),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
S Kimura (JPN),2022-2023,5,-,-,-,-,-,-,-,-,-,-,-,
BA King (WI),2019-2023,40,-,-,-,-,-,-,-,-,-,-,-,
MO Kitunda (TAN),2021-2023,38,-,-,-,-,-,-,-,-,-,-,-,
M Klinger (AUS),2017-2017,3,-,-,-,-,-,-,-,-,-,-,-,
FA Klokker (DEN),2021-2022,13,-,-,-,-,-,-,-,-,-,-,-,
N Knights (IOM),2020-2023,18,-,-,-,-,-,-,-,-,-,-,-,
EB Knowles (CZK-R),2019-2021,14,-,-,-,-,-,-,-,-,-,-,-,
MF Koc (TKY),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,
JP Kotze (NAM),2019-2022,18,-,-,-,-,-,-,-,-,-,-,-,
HG Kuhn (SA),2009-2017,7,-,-,-,-,-,-,-,-,-,-,-,
HGJM Kulatunga (SL),2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
Kuldeep (PORT),2022-2023,14,-,-,-,-,-,-,-,-,-,-,-,
Kuldeep Singh (PHI),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,
BLCS Kumara (CYP),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,
P Kurup (BHR),2021-2023,12,-,-,-,-,-,-,-,-,-,-,-,
M Labuschagne (AUS),2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
T Langa (VAN),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
TWM Latham (NZ),2012-2023,26,-,-,-,-,-,-,-,-,-,-,-,
JAD Lawrenson (JER),2023-2023,8,-,-,-,-,-,-,-,-,-,-,-,
Lee Kangmin (SKOR),2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
T Letsitsa (LES),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
RE Levi (SA),2012-2012,13,-,-,-,-,-,-,-,-,-,-,-,
E Lewis (WI),2016-2022,53,-,-,-,-,-,-,-,-,-,-,-,
KK Lin Thu (MYAN),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
J Linton (CAY),2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
Litton Das (BAN),2015-2023,73,-,-,-,-,-,-,-,-,-,-,-,
J Liyanage (SL),2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
I Liyanage (QAT),2020-2023,29,-,-,-,-,-,-,-,-,-,-,-,
NG Liyanage (HUN),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,
K Loday (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
S Loday (BHU),2022-2023,7,-,-,-,-,-,-,-,-,-,-,-,
Lokesh Bam (NEP),2022-2022,8,-,-,-,-,-,-,-,-,-,-,-,
L Louwrens (NAM),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,
WJ Lubbe (SA),2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,
Luca Petre (ROM),2023-2023,5,-,-,-,-,-,-,-,-,-,-,-,
Luke Ward (IOM),2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,
MJ Lumb (ENG),2010-2014,27,-,-,-,-,-,-,-,-,-,-,-,
R Lutaaya (UGA),2022-2023,18,-,-,-,-,-,-,-,-,-,-,-,
CA Lynn (AUS),2014-2018,18,-,-,-,-,-,-,-,-,-,-,-,
NFI McCallum (SCOT),2007-2010,11,-,-,-,-,-,-,-,-,-,-,-,
BB McCullum (NZ),2005-2015,71,-,-,-,-,-,-,-,-,-,-,-,
BR McDermott (AUS),2018-2022,23,-,-,-,-,-,-,-,-,-,-,-,
PD McGlashan (NZ),2006-2010,11,-,-,-,-,-,-,-,-,-,-,-,
M Machado (PORT),2023-2023,8,-,-,-,-,-,-,-,-,-,-,-,
ND McKenzie (SA),2006-2009,2,-,-,-,-,-,-,-,-,-,-,-,
TSS Mackintosh (SCOT),2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,
CD McMillan (NZ),2005-2007,8,-,-,-,-,-,-,-,-,-,-,-,
C Madande (ZIM),2022-2023,4,-,-,-,-,-,-,-,-,-,-,-,
NJ Maddinson (AUS),2013-2018,6,-,-,-,-,-,-,-,-,-,-,-,
WL Madsen (ITA),2023-2023,4,-,-,-,-,-,-,-,-,-,-,-,
P Magafas (GRC),2022-2022,4,-,-,-,-,-,-,-,-,-,-,-,
RP Magar (NEP),2014-2015,6,-,-,-,-,-,-,-,-,-,-,-,
Maidul Islam (EST),2021-2022,12,-,-,-,-,-,-,-,-,-,-,-,
Z Makadji (Mali),2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,
JN Malan (SA),2019-2021,11,-,-,-,-,-,-,-,-,-,-,-,
G Malla (NEP),2014-2022,45,-,-,-,-,-,-,-,-,-,-,-,
M Malle (Mali),2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
G Manan (ROM),2019-2023,15,-,-,-,-,-,-,-,-,-,-,-,
A Manatos (GRC),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,
AK Mandal (NEP),2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,
Mandeep Singh (IND),2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,
T Manders (BER),2021-2023,17,-,-,-,-,-,-,-,-,-,-,-,
A Manepalli (LUX),2020-2022,7,-,-,-,-,-,-,-,-,-,-,-,
O Manishimwe (RWN),2022-2023,38,-,-,-,-,-,-,-,-,-,-,-,
Manoj Adhikari (BHU),2022-2022,7,-,-,-,-,-,-,-,-,-,-,-,
Manpreet Singh (ITA),2019-2023,20,-,-,-,-,-,-,-,-,-,-,-,
