Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
S Prasanna (SL),2011-2019,40,39,1945,1767,32,3/32,55.21,5.45,60.7,0,0,
Rizwan Cheema (CAN),2008-2013,33,32,1330,1095,32,3/25,34.21,4.93,41.5,0,0,
GB Troup (NZ),1976-1985,22,22,1180,791,32,4/19,24.71,4.02,36.8,3,0,
DL Underwood (ENG),1973-1982,26,24,1278,734,32,4/44,22.93,3.44,39.9,1,0,
BV Vitori (ZIM),2011-2018,24,24,1193,1149,32,5/20,35.90,5.77,37.2,0,2,
Arshad Ayub (IND),1987-1990,32,32,1769,1216,31,5/21,39.22,4.12,57.0,0,1,
JW Dernbach (ENG),2011-2013,24,24,1234,1308,31,4/45,42.19,6.35,39.8,1,0,
KS Lokuarachchi (SL),2003-2007,21,21,1011,725,31,4/44,23.38,4.30,32.6,1,0,
WP Masakadza (ZIM),2015-2023,35,32,1472,1208,31,4/21,38.96,4.92,47.4,1,0,
MJ Mason (NZ),2003-2010,26,25,1179,1024,31,4/24,33.03,5.21,38.0,1,0,
MM Sharma (IND),2013-2015,26,25,1121,1020,31,4/22,32.90,5.45,36.1,1,0,
J Theron (SA/USA),2010-2022,18,17,780,667,31,5/44,21.51,5.13,25.1,1,1,
Abdur Rehman (PAK),2006-2014,31,31,1624,1142,30,4/48,38.06,4.21,54.1,1,0,
CEH Croft (WI),1977-1981,19,19,1070,620,30,6/15,20.66,3.47,35.6,0,1,
SM Curran (ENG),2018-2023,28,28,1128,1124,30,5/48,37.46,5.97,37.6,1,1,
C de Grandhomme (NZ),2012-2022,45,45,1548,1230,30,3/26,41.00,4.76,51.6,0,0,
GA Hick (ENG),1991-2001,120,47,1236,1026,30,5/33,34.20,4.98,41.2,0,1,
RK Illingworth (ENG),1991-1996,25,25,1501,1059,30,3/33,35.30,4.23,50.0,0,0,
SI Mahmood (ENG),2004-2009,26,25,1197,1169,30,4/50,38.96,5.85,39.9,1,0,
GT Main (SCOT),2019-2022,14,14,649,569,30,5/52,18.96,5.26,21.6,1,1,
DA Marillier (ZIM),2000-2003,48,35,1574,1235,30,4/38,41.16,4.70,52.4,1,0,
Taijul Islam (BAN),2014-2023,18,18,972,708,30,5/28,23.60,4.37,32.4,1,1,
PR Adams (SA),1996-2003,24,23,1109,815,29,3/26,28.10,4.40,38.2,0,0,
RK Chauhan (IND),1993-1997,35,34,1634,1216,29,3/29,41.93,4.46,56.3,0,0,
MD Crowe (NZ),1982-1995,143,46,1296,954,29,2/9,32.89,4.41,44.6,0,0,
BFW de Leede (NED),2018-2023,32,25,891,896,29,5/52,30.89,6.03,30.7,1,1,
TBM de Leede (NED),1996-2007,29,29,1139,999,29,4/35,34.44,5.26,39.2,1,0,
Ehsan Khan (HKG),2016-2018,15,15,807,594,29,4/33,20.48,4.41,27.8,1,0,
Hasibul Hossain (BAN),1995-2004,32,32,1375,1338,29,4/56,46.13,5.83,47.4,1,0,
BW Hilfenhaus (AUS),2007-2012,25,25,1216,1075,29,5/33,37.06,5.30,41.9,0,1,
NM Lyon (AUS),2012-2019,29,29,1626,1334,29,4/44,46.00,4.92,56.0,1,0,
Manzoor Elahi (PAK),1984-1995,54,49,1743,1262,29,3/22,43.51,4.34,60.1,0,0,
BA Murphy (ZIM),2000-2003,31,29,1422,1130,29,3/43,38.96,4.76,49.0,0,0,
M Prasidh Krishna (IND),2021-2023,17,17,794,742,29,4/12,25.58,5.60,27.3,2,0,
FA Rose (WI),1997-2000,27,27,1326,1046,29,5/23,36.06,4.73,45.7,0,1,
RJ Sidebottom (ENG),2001-2010,25,25,1277,1039,29,3/19,35.82,4.88,44.0,0,0,
CM Wright (SCOT),2006-2009,20,19,861,663,29,4/29,22.86,4.62,29.6,1,0,
IG Butler (NZ),2002-2010,26,25,1109,1038,28,4/44,37.07,5.61,39.6,1,0,
Fayyaz Butt (OMA),2019-2023,23,23,1005,988,28,4/79,35.28,5.89,35.8,1,0,
WW Hinds (WI),1999-2010,119,34,945,837,28,3/24,29.89,5.31,33.7,0,0,
BMAJ Mendis (SL),2010-2019,58,49,1404,1204,28,3/15,43.00,5.14,50.1,0,0,
LN Rajbanshi (NEP),2019-2023,23,19,924,571,28,5/20,20.39,3.70,33.0,2,1,
SPD Smith (AUS),2010-2023,147,40,1076,971,28,3/16,34.67,5.41,38.4,0,0,
HR Walsh (USA/WI),2019-2022,22,22,988,891,28,5/39,31.82,5.41,35.2,1,1,
Ata-ur-Rehman (PAK),1992-1996,30,30,1492,1186,27,3/27,43.92,4.76,55.2,0,0,
Ayaan Khan (OMA),2021-2023,34,32,1156,938,27,4/36,34.74,4.86,42.8,1,0,
RL Chase (WI),2017-2023,42,35,1457,1184,27,3/30,43.85,4.87,53.9,0,0,
PW Gunaratne (SL),2002-2003,23,23,959,908,27,4/44,33.62,5.68,35.5,1,0,
KM Jadhav (IND),2014-2020,73,42,1187,1020,27,3/23,37.77,5.15,43.9,0,0,
AY Karim (KENYA),1996-2003,34,33,1568,1114,27,5/33,41.25,4.26,58.0,0,1,
AJ McKay (NZ),2010-2012,19,19,926,800,27,4/53,29.62,5.18,34.2,2,0,
PJ Martin (ENG),1995-1998,20,20,1048,806,27,4/44,29.85,4.61,38.8,1,0,
RAP Nissanka (SL),2001-2003,23,23,997,857,27,4/12,31.74,5.15,36.9,1,0,
JA Richardson (AUS),2018-2022,15,15,810,793,27,4/26,29.37,5.87,30.0,1,0,
PADLR Sandakan (SL),2016-2021,31,30,1488,1539,27,4/52,57.00,6.20,55.1,1,0,
MD Shanaka (SL),2016-2023,69,45,1032,985,27,5/43,36.48,5.72,38.2,0,1,
O Thomas (WI),2018-2020,20,19,771,866,27,5/21,32.07,6.73,28.5,1,1,
DAJ Bracewell (NZ),2011-2022,21,21,1016,845,26,4/55,32.50,4.99,39.0,1,0,
PH Edmonds (ENG),1977-1987,29,27,1534,965,26,3/39,37.11,3.77,59.0,0,0,
Faheem Ashraf (PAK),2017-2023,34,33,1394,1204,26,5/22,46.30,5.18,53.6,0,1,
AP Gurusinha (SL),1985-1996,147,55,1585,1354,26,2/25,52.07,5.12,60.9,0,0,
R Hekure (PNG),2019-2023,25,24,953,733,26,5/13,28.19,4.61,36.6,0,1,
LN Onyango (KENYA),1996-2014,29,28,995,981,26,3/29,37.73,5.91,38.2,0,0,
AM Phangiso (SA),2013-2016,21,21,1085,829,26,3/40,31.88,4.58,41.7,0,0,
N Pokana (PNG),2017-2022,21,21,989,762,26,3/25,29.30,4.62,38.0,0,0,
JE Root (ENG),2013-2023,164,70,1577,1520,26,3/52,58.46,5.78,60.6,0,0,
DN Crookes (SA),1994-2000,32,30,1221,1011,25,3/30,40.44,4.96,48.8,0,0,
GD Drummond (SCOT),2007-2013,30,29,1263,932,25,4/41,37.28,4.42,50.5,1,0,
Hasan Mahmud (BAN),2021-2023,18,17,795,746,25,5/32,29.84,5.63,31.8,0,1,
Jasdeep Singh (USA),2019-2023,24,24,1074,947,25,4/32,37.88,5.29,42.9,2,0,
A Kuruvilla (IND),1997-1997,25,25,1131,890,25,4/43,35.60,4.72,45.2,1,0,
D Langford-Smith (IRE),2006-2008,22,21,942,797,25,3/32,31.88,5.07,37.6,0,0,
SW Masakadza (ZIM),2010-2014,16,16,791,891,25,4/46,35.64,6.75,31.6,3,0,
G Miller (ENG),1977-1984,25,24,1268,813,25,3/27,32.52,3.84,50.7,0,0,
A Nao (PNG),2017-2023,26,26,1148,972,25,4/27,38.88,5.08,45.9,1,0,
K Srikkanth (IND),1981-1992,146,33,712,641,25,5/27,25.64,5.40,28.4,0,2,
JDF Vandersay (SL),2015-2023,20,19,858,802,25,4/10,32.08,5.60,34.3,1,0,
AR White (IRE),2006-2014,61,35,869,688,25,4/44,27.52,4.75,34.7,1,0,
KIW Wijegunawardene (SL),1988-1992,26,25,1186,986,25,4/49,39.44,4.98,47.4,1,0,
Alok Kapali (BAN),2002-2011,69,49,1452,1255,24,3/49,52.29,5.18,60.5,0,0,
Arafat Sunny (BAN),2014-2015,16,16,830,600,24,4/27,25.00,4.33,34.5,2,0,
ID Blackwell (ENG),2002-2006,34,26,1230,877,24,3/26,36.54,4.27,51.2,0,0,
C Campher (IRE),2020-2023,32,28,940,930,24,3/49,38.75,5.93,39.1,0,0,
TS Chisoro (ZIM),2015-2020,21,19,900,684,24,3/16,28.50,4.56,37.5,0,0,
Harvinder Singh (IND),1997-2001,16,16,686,609,24,3/44,25.37,5.32,28.5,0,0,
RC Irani (ENG),1996-2003,31,30,1283,989,24,5/26,41.20,4.62,53.4,1,1,
