Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
MA Suji (KENYA),1996-2006,64,64,2952,2190,43,4/24,50.93,4.45,68.6,1,0,
JC Archer (ENG),2019-2023,21,21,1139,913,42,6/40,21.73,4.80,27.1,0,1,
KLT Arthurton (WI),1988-1999,105,44,1384,1159,42,4/31,27.59,5.02,32.9,3,0,
AC Botha (IRE),2006-2011,42,33,1560,1134,42,4/19,27.00,4.36,37.1,2,0,
JW Hastings (AUS),2010-2017,29,29,1486,1256,42,6/45,29.90,5.07,35.3,1,1,
Khawar Ali (OMA),2019-2022,34,34,1591,1265,42,5/15,30.11,4.77,37.8,1,1,
Mohammad Nawaz (3) (PAK),2016-2023,34,34,1642,1377,42,4/19,32.78,5.03,39.0,3,0,
NK Patel (USA),2019-2023,41,39,1615,1281,42,4/30,30.50,4.75,38.4,1,0,
SA Thomson (NZ),1990-1996,56,51,2121,1602,42,3/14,38.14,4.53,50.5,0,0,
RJW Topley (ENG),2015-2023,27,27,1232,1062,42,6/24,25.28,5.17,29.3,2,1,
Aftab Alam (AFG),2010-2019,27,27,1257,1033,41,4/25,25.19,4.93,30.6,1,0,
JAR Blain (SCOT),1999-2009,33,32,1329,1173,41,5/22,28.60,5.29,32.4,1,1,
DG Cork (ENG),1992-2002,32,32,1772,1368,41,3/27,33.36,4.63,43.2,0,0,
CE Cuffy (WI),1994-2002,41,41,2153,1436,41,4/24,35.02,4.00,52.5,1,0,
S Dhaniram (CAN),2006-2010,44,41,1769,1240,41,5/32,30.24,4.20,43.1,1,1,
SM Ervine (ZIM),2001-2004,42,40,1649,1561,41,3/29,38.07,5.67,40.2,0,0,
HA Gomes (WI),1978-1987,83,36,1345,1045,41,4/31,25.48,4.66,32.8,2,0,
KA Maharaj (SA),2017-2023,33,32,1664,1301,41,4/33,31.73,4.69,40.5,1,0,
Mohammad Saifuddin (BAN),2017-2021,29,28,1283,1279,41,4/41,31.19,5.98,31.2,1,0,
VD Philander (SA),2007-2015,30,28,1279,986,41,4/12,24.04,4.62,31.1,2,0,
Amir Hamza (AFG),2012-2017,31,31,1552,1016,40,4/17,25.40,3.92,38.8,1,0,
RP Arnold (SL),1997-2007,180,84,2157,1739,40,3/47,43.47,4.83,53.9,0,0,
RS Bopara (ENG),2007-2015,120,74,1860,1523,40,4/38,38.07,4.91,46.5,1,0,
Hamza Tahir (SCOT),2019-2023,31,30,1454,1033,40,5/38,25.82,4.26,36.3,2,1,
Saleem Jaffar (PAK),1986-1990,39,39,1900,1382,40,3/25,34.55,4.36,47.5,0,0,
Shoriful Islam (BAN),2021-2023,24,24,1050,961,40,4/21,24.02,5.49,26.2,3,0,
SJ Benn (WI),2008-2016,47,46,2387,1913,39,4/18,49.05,4.80,61.2,3,0,
PT Collins (WI),1999-2005,30,30,1577,1212,39,5/43,31.07,4.61,40.4,0,1,
WW Davis (WI),1983-1988,35,35,1923,1302,39,7/51,33.38,4.06,49.3,0,1,
GD Elliott (NZ),2008-2016,83,56,1302,1179,39,4/31,30.23,5.43,33.3,1,0,
LM Jongwe (ZIM),2014-2023,40,37,1379,1303,39,5/6,33.41,5.66,35.3,0,1,
WK McCallan (IRE),2006-2009,39,35,1804,1208,39,4/30,30.97,4.01,46.2,2,0,
H Masakadza (ZIM),2001-2019,209,85,1844,1636,39,3/39,41.94,5.32,47.2,0,0,
TBA May (AUS),1987-1995,47,46,2504,1772,39,3/19,45.43,4.24,64.2,0,0,
MO Odumbe (KENYA),1996-2003,61,52,2237,1807,39,4/38,46.33,4.84,57.3,1,0,
KW Richardson (AUS),2013-2020,25,25,1312,1240,39,5/68,31.79,5.67,33.6,0,1,
Simi Singh (IRE),2017-2022,35,30,1519,1011,39,5/10,25.92,3.99,38.9,0,1,
NP Kenjige (USA),2019-2023,40,39,1876,1327,38,3/22,34.92,4.24,49.3,0,0,
Akram Raza (PAK),1989-1995,49,48,2601,1611,38,3/18,42.39,3.71,68.4,0,0,
D Bishoo (WI),2011-2019,42,40,2022,1668,38,3/30,43.89,4.94,53.2,0,0,
MG Hughes (AUS),1988-1993,33,33,1639,1115,38,4/44,29.34,4.08,43.1,1,0,
AJ Ireland (ZIM),2005-2007,26,26,1326,1115,38,3/41,29.34,5.04,34.8,0,0,
Nadeem Ahmed (HKG),2004-2018,25,25,1327,932,38,4/26,24.52,4.21,34.9,4,0,
R Vinay Kumar (IND),2010-2013,31,31,1436,1423,38,4/30,37.44,5.94,37.7,1,0,
TJ Friend (ZIM),2000-2004,51,45,1930,1779,37,4/55,48.08,5.53,52.1,1,0,
